forwardingtable of node 0
===================================
1 5012 -1 -1 
1 5017 -1 -1 
2 5018 -1 -1 
-1 -1 2 5020 
1 5029 3 5030 
1 5031 -1 -1 
3 5038 -1 -1 
1 5041 3 5042 
-1 -1 1 5042 


forwardingtable of node 1
===================================
7 5011 0 5012 
2 5017 -1 -1 
-1 -1 0 5017 
2 5019 -1 -1 
-1 -1 2 5026 
7 5028 0 5029 
7 5030 0 5031 
7 5040 0 5041 
0 5042 -1 -1 


forwardingtable of node 2
===================================
5 5005 -1 -1 
-1 -1 5 5005 
-1 -1 5 5009 
-1 -1 1 5017 
-1 -1 0 5018 
5 5018 1 5019 
0 5020 5 5021 
1 5026 5 5027 


forwardingtable of node 3
===================================
-1 -1 8 5007 
4 5009 -1 -1 
8 5014 -1 -1 
-1 -1 4 5017 
-1 -1 4 5019 
4 5024 8 5025 
0 5030 -1 -1 
8 5036 4 5037 
-1 -1 0 5038 
0 5042 -1 -1 


forwardingtable of node 4
===================================
6 5003 -1 -1 
-1 -1 5 5003 
6 5003 5 5004 
6 5008 3 5009 
-1 -1 5 5015 
6 5017 -1 -1 
5 5017 -1 -1 
3 5017 6 5018 
3 5019 -1 -1 
6 5023 3 5024 
5 5033 6 5034 
3 5037 6 5038 
-1 -1 6 5038 
5 5039 6 5040 
5 5040 -1 -1 


forwardingtable of node 5
===================================
12 5002 -1 -1 
4 5003 -1 -1 
4 5004 2 5005 
2 5005 10 5006 
2 5009 10 5010 
4 5015 12 5016 
-1 -1 10 5017 
-1 -1 4 5017 
-1 -1 2 5018 
2 5021 12 5022 
2 5027 12 5028 
10 5032 4 5033 
10 5038 4 5039 
-1 -1 4 5040 


forwardingtable of node 6
===================================
7 5002 4 5003 
-1 -1 4 5003 
-1 -1 4 5008 
-1 -1 4 5017 
4 5018 -1 -1 
7 5020 -1 -1 
-1 -1 4 5023 
4 5034 -1 -1 
4 5038 -1 -1 
4 5038 -1 -1 
4 5040 -1 -1 


forwardingtable of node 7
===================================
-1 -1 6 5002 
-1 -1 1 5011 
9 5019 6 5020 
-1 -1 1 5028 
-1 -1 1 5030 
-1 -1 1 5040 


forwardingtable of node 8
===================================
-1 -1 13 5006 
3 5007 13 5008 
13 5013 3 5014 
13 5014 11 5015 
3 5025 11 5026 
13 5034 11 5035 
11 5035 3 5036 
11 5038 -1 -1 


forwardingtable of node 9
===================================
10 5011 -1 -1 
-1 -1 13 5012 
-1 -1 10 5017 
-1 -1 7 5019 
-1 -1 10 5026 
10 5031 11 5032 


forwardingtable of node 10
===================================
5 5006 -1 -1 
5 5010 9 5011 
9 5017 -1 -1 
5 5017 -1 -1 
9 5026 -1 -1 
-1 -1 9 5031 
-1 -1 5 5032 
-1 -1 5 5038 


forwardingtable of node 11
===================================
8 5015 -1 -1 
8 5026 -1 -1 
9 5032 -1 -1 
8 5035 -1 -1 
-1 -1 8 5035 
-1 -1 8 5038 


forwardingtable of node 12
===================================
13 5001 5 5002 
13 5007 -1 -1 
5 5016 13 5017 
5 5022 13 5023 
5 5028 -1 -1 


forwardingtable of node 13
===================================
-1 -1 12 5001 
8 5006 12 5007 
8 5008 -1 -1 
9 5012 8 5013 
-1 -1 8 5014 
12 5017 -1 -1 
12 5023 -1 -1 
-1 -1 8 5034 


